Part Name
600-2 1/4X1/8 FTGXC FTG REDUCER WROT
600-2 3/8X1/4 FTGXC FTG REDUCER WROT
600-2 3/8X1/8 FTGXC FTG REDUCER WROT
600-2 1/2X3/8 FTGXC FTG REDUCER WROT
600-2 1/2X1/4 FTGXC FTG REDUCER WROT
600-2 5/8X1/2 FTGXC FTG REDUCER WROT
600-2 5/8X3/8 FTGXC FTG REDUCER WROT
600-2 5/8X1/4 FTGXC FTG REDUCER WROT
600-2 3/4X5/8 FTGXC FTG REDUCER WROT
600-2 3/4X1/2 FTGXC FTG REDUCER WROT
600-2 3/4X3/8 FTGXC FTG REDUCER WROT
600-2 3/4X1/4 FTGXC FTG REDUCER WROT
600-2 1X3/4 FTGXC FTG REDUCER WROT
600-2 1X5/8 FTGXC FTG REDUCER WROT
600-2 1X1/2 FTGXC FTG REDUCER WROT
600-2 1X3/8 FTGXC FTG REDUCER WROT
600-2 11/4X1 FTGXC FTG REDUCER WROT
600-2 11/4X3/4 FTGXC FTG REDUCER WROT
600-2 11/4X1/2 FTGXC FTG REDUCER WROT
600-2 11/2X11/4 FTGXC FTG REDUCER WROT
600-2 11/2X1 FTGXC FTG REDUCER WROT
600-2 11/2X3/4 FTGXC FTG REDUCER WROT
600-2 11/2X1/2 FTGXC FTG REDUCER WROT
600-2 2X11/2 FTGXC FTG REDUCER WROT
600-2 2X11/4 FTGXC FTG REDUCER WROT
600-2 2X1 FTGXC FTG REDUCER WROT
600-2 2X3/4 FTGXC FTG REDUCER WROT
600-2 2X1/2 FTGXC FTG REDUCER WROT
600-2 21/2X2 FTGXC FTG REDUCER WROT
600-2 21/2X11/2 FTGXC FTG REDUCER WROT
600-2 21/2X11/4 FTGXC FTG REDUCER WROT
600-2 21/2X1 FTGXC FTG REDUCER WROT
600-2 3X21/2 FTGXC FTG REDUCER WROT
600-2 3X2 FTGXC FTG REDUCER WROT
600-2 3X11/2 FTGXC FTG REDUCER WROT
600-2 3X11/4 FTGXC FTG REDUCER WROT
600-2 31/2X3 FTGXC FTG REDUCER WROT
600-2 4X31/2 FTGXC FTG REDUCER WROT
600-2 4X3 FTGXC FTG REDUCER WROT
600-2 4X21/2 FTGXC FTG REDUCER WROT
600-2 4X2 FTGXC FTG REDUCER WROT
600-2 5X4 FTGXC FTG REDUCER WROT
600-2 5X3 FTGXC FTG REDUCER WROT
600-2 5X21/2 FTGXC FTG REDUCER WROT
600-2 5X2 FTGXC FTG REDUCER WROT
600-2 6X5 FTGXC FTG REDUCER WROT
600-2 6X4 FTGXC FTG REDUCER WROT
600-2 6X3 FTGXC FTG REDUCER WROT
600-2 6X21/2 FTGXC FTG REDUCER WROT
600-2 6X2 FTGXC FTG REDUCER WROT
600-2 8X6 FTGXC FTG REDUCER WROT
600-2 8X5 FTGXC FTG REDUCER WROT
600-2 8X4 FTGXC FTG REDUCER WROT
600-2 8X3 FTGXC FTG REDUCER WROT
600-2 8X21/2 FTGXC FTG REDUCER WROT
600-2 8X2 FTGXC FTG REDUCER WROT
600DS 3/16OD CXC DIMP-STOP COUPLING WROT
600DS 1/8 CXC DIMP-STOP COUPLING WROT
600DS 5/16OD DIMP-STOP COUPLING WROT
600DS 1/4 CXC DIMP-STOP COUPLING WROT
600DS 3/8 CXC DIMP-STOP COUPLING WROT
600DS 1/2 CXC DIMP-STOP COUPLING WROT
600DS 5/8 CXC DIMP-STOP COUPLING WROT
600DS 3/4 CXC DIMP-STOP COUPLING WROT
600DS 7/8 CXC DIMP-STOP COUPLING WROT
600DS 1 CXC DIMP-STOP COUPLING WROT
600DS 11/4 CXC DIMP-STOP COUPLING WROT
600DS 11/2 CXC DIMP-STOP COUPLING WROT
600DS 2 CXC DIMP-STOP COUPLING WROT
600DS 21/2 CXC DIMP-STOP COUPLING WROT
600DS 3 CXC DIMP-STOP COUPLING WROT
600DS 31/2 CXC DIMP-STOP COUPLING WROT
600DS 4 CXC DIMP-STOP COUPLING WROT
600DS 5 CXC DIMP-STOP COUPLING WROT
600DS 6 CXC DIMP-STOP COUPLING WROT
600DS 8 CXC DIMP-STOP COUPLING WROT
600R 1/8X3/16OD CXC REDUCING COUPLING
600R 5/16ODX1/8 CXC REDUCING COUPLING
600R 1/4X5/16OD REDUCING COUPLING WROT
600R 1/4X1/8 CXC REDUCING COUPLING WROT
600R 3/8X1/4 CXC REDUCING COUPLING WROT
600R 3/8X5/16OD REDUCING COUPLING WROT
600R 3/8X1/8 CXC REDUCING COUPLING WROT
600R 1/2X3/8 CXC REDUCING COUPLING WROT
600R 1/2X1/8 CXC REDUCING COUPLING WROT
600R 1/2X1/4 CXC REDUCING COUPLING WROT
600R 5/8X1/2 CXC REDUCING COUPLING WROT
600R 5/8X3/8 CXC REDUCING COUPLING WROT
600R 5/8X1/4 CXC REDUCING COUPLING WROT
600R 3/4X5/8 CXC REDUCING COUPLING WROT
600R 3/4X1/2 CXC REDUCING COUPLING WROT
600R 3/4X3/8 CXC REDUCING COUPLING WROT
600R 3/4X1/4 CXC REDUCING COUPLING WROT
600R 1X3/4 CXC REDUCING COUPLING WROT
600R 1X5/8 CXC REDUCING COUPLING WROT
600R 1X1/2 CXC REDUCING COUPLING WROT
600R 1X3/8 CXC REDUCING COUPLING WROT
600R 11/4X1 CXC REDUCING COUPLING WROT
600R 11/4X3/4 CXC REDUCING COUPLING WROT
600R 11/4X5/8 CXC REDUCING COUPLING WROT
600R 11/4X1/2 CXC REDUCING COUPLING WROT
600R 11/2X11/4 CXC REDUCING COUPLING
600R 11/2X1 CXC REDUCING COUPLING WROT
600R 11/2X3/4 CXC REDUCING COUPLING WROT
600R 11/2X1/2 CXC REDUCING COUPLING WROT
600R 2X11/2 CXC REDUCING COUPLING WROT
600R 2X11/4 CXC REDUCING COUPLING WROT
600R 2X1 CXC REDUCING COUPLING WROT
600R 2X3/4 CXC REDUCING COUPLING WROT
600R 2X1/2 CXC REDUCING COUPLING WROT
600R 21/2X2 CXC REDUCING COUPLING WROT
600R 21/2X11/2 CXC REDUCING COUPLING
600R 21/2X11/4 CXC REDUCING COUPLING
600R 21/2X1 CXC REDUCING COUPLING WROT
600R 3X21/2 CXC REDUCING COUPLING WROT
600R 3X2 CXC REDUCING COUPLING WROT
600R 3X11/2 CXC REDUCING COUPLING WROT
600R 31/2X3 CXC REDUCING COUPLING WROT
600R 4X31/2 CXC REDUCING COUPLING WROT
600R 4X3 CXC REDUCING COUPLING WROT
600R 4X21/2 CXC REDUCING COUPLING WROT
600R 4X2 CXC REDUCING COUPLING WROT
600R 5X4 CXC REDUCING COUPLING WROT
600R 5X3 CXC REDUCING COUPLING WROT
600R 5X21/2 REDUCING COUPLING WROT
600R 5X2 CXC REDUCING COUPLING WROT
600R 6X5 CXC REDUCING COUPLING WROT
600R 6X4 CXC REDUCING COUPLING WROT
600R 6X3 CXC REDUCING COUPLING WROT
600R 6X21/2 CXC REDUCING COUPLING WROT
600R 6X2 CXC REDUCING COUPLING WROT
600R 8X6 CXC REDUCING COUPLING WROT
600R 8X4 CXC REDUCING COUPLING WROT
600R 8X3 CXC REDUCING COUPLING WROT
600R 8X21/2 CXC REDUCING COUPLING WROT
600RS 3/16OD CXC ROLL-STOP COUPLING WROT
600RS 1/8 CXC ROLL-STOP COUPLING WROT
600RS 5/16OD CXC ROLL-STOP COUPLING WROT
600RS 1/4 CXC ROLL-STOP COUPLING WROT
600RS 3/8 CXC ROLL-STOP COUPLING WROT
600RS 1/2 CXC ROLL-STOP COUPLING WROT
600RS 5/8 CXC ROLL-STOP COUPLING WROT
600RS 3/4 CXC ROLL-STOP COUPLING WROT
600RS 7/8 CXC ROLL-STOP COUPLING WROT
600RS 1 CXC ROLL-STOP COUPLING WROT
600RS 11/4 CXC ROLL-STOP COUPLING WROT
600RS 11/2 CXC ROLL-STOP COUPLING WROT
600RS 2 CXC ROLL-STOP COUPLING WROT
600RS 21/2 CXC ROLL-STOP COUPLING WROT
600RS 3 CXC ROLL-STOP COUPLING WROT
600RS 31/2 CXC ROLL-STOP COUPLING WROT
600RS 4 CXC ROLL-STOP COUPLING WROT
601 1/4 CXC COUPLING W/O STOP WROT
601 3/8 CXC COUPLING W/O STOP WROT
601 1/2 CXC COUPLING W/O STOP WROT
601 5/8 CXC COUPLING W/O STOP WROT
601 3/4 CXC COUPLING W/O STOP WROT
601 1 CXC COUPLING W/O STOP WROT
601 11/4 CXC COUPLING W/O STOP WROT
601 11/2 CXC COUPLING W/O STOP WROT
601 2 CXC COUPLING W/O STOP WROT
601 21/2 CXC COUPLING W/O STOP WROT
601 3 CXC COUPLING W/O STOP WROT
601 31/2 CXC COUPLING WITHOUT STOP WROT
601 4 CXC COUPLING W/O STOP WROT
601 5 CXC COUPLING W/O STOP WROT
601 6 CXC COUPLING W/O STOP WROT
601 8 CXC COUPLING W/O STOP WROT
603 1/8 CXF ADAPTER WROT
603R 1/8X1/4 CXF ADAPTER WROT
603 1/4 CXF ADAPTER WROT
603R 1/4X3/8 CXF ADAPTER WROT
603R 1/4X1/8 CXF ADAPTER WROT
603 3/8 CXF ADAPTER WROT
603R 3/8X3/4 CXF ADAPTER WROT
603R 3/8X1/2 CXF ADAPTER WROT
603R 3/8X1/4 CXF ADAPTER WROT
603 1/2 CXF ADAPTER WROT
603R 1/2X3/4 CXF ADAPTER WROT
603R 1/2X3/8 CXF ADAPTER WROT
603R 1/2X1/4 CXF ADAPTER WROT
603R 5/8X3/4 CXF ADAPTER WROT
603R 5/8X1/2 CXF ADAPTER WROT
603 3/4 CXF ADAPTER WROT
603R 3/4X1 CXF ADAPTER WROT
603R 3/4X1/2 CXF ADAPTER WROT
603 1 CXF ADAPTER WROT
603R 1X11/4 CXF ADAPTER WROT
603R 1X3/4 CXF ADAPTER WROT
603R 1X1/2 CXF ADAPTER WROT
603 11/4 CXF ADAPTER WROT
603-R 11/4X3/4 CXF ADAPTER WROT
603R 11/4X11/2 CXF ADAPTER WROT
603R 11/4X1 CXF ADAPTER WROT
603 11/2 CXF ADAPTER WROT
603 2 CXF ADAPTER WROT
603R 2X11/2 CXF ADAPTER WROT
603 21/2 CXF ADAPTER WROT
603 3 CXF ADAPTER WROT
603 4 CXF ADAPTER WROT
603-2 1/4 FTGXF ADAPTER WROT
603-2 3/8 FTGXF ADAPTER WROT
603-2 1/2 FTGXF ADAPTER WROT
603-2R 1/2X3/8 FTGXF ADAPTER WROT
603-2 3/4 FTGXF ADAPTER WROT
603-2R 3/4X1/4 FTGXF ADAPTER WROT
603-2 1 FTGXF ADAPTER WROT
603-2 11/4 FTGXF ADAPTER WROT
603-2 11/2 FTGXF ADAPTER WROT
603-2 2 FTGXF ADAPTER WROT
603-2 21/2 FTGXF ADAPTER WROT
603-2 3 FTGXF ADAPTER WROT
603R 11/2X11/4 CXF ADAPTER WROT
603R 11/2X2 CXF ADAPTER WROT
603R 11/2X1 CXF ADAPTER WROT
604R 1/8X1/4 CXM ADAPTER WROT
604R 3/8X1/4 CXM ADAPTER WROT
604 1/4 CXM ADAPTER WROT
604R 1/4X1/2 CXM ADAPTER WROT
604 3/8 CXM ADAPTER WROT
604R 3/8X3/4 CXM ADAPTER WROT
604R 3/8X1/2 CXM ADAPTER WROT
604 1/2 CXM ADAPTER WROT
604R 1/2X1 CXM ADAPTER WROT
604R 1/2X3/4 CXM ADAPTER WROT
604R 1/2X3/8 CXM ADAPTER WROT
604R 1/2X1/4 CXM ADAPTER WROT
604R 5/8X3/4 CXM ADAPTER WROT
604R 5/8X1/2 CXM ADAPTER WROT
604 3/4 CXM ADAPTER WROT
604R 3/4X1 CXM ADAPTER WROT
604R 3/4X1/2 CXM ADAPTER WROT
604 1 CXM ADAPTER WROT
604R 1X11/2 CXM ADAPTER WROT
604R 1X11/4 CXM ADAPTER WROT
604R 1X3/4 CXM ADAPTER WROT
604R 1X1/2 CXM ADAPTER WROT
604 11/4 CXM ADAPTER WROT
604R 11/4X11/2 CXM ADAPTER WROT
604R 11/4X1 CXM ADAPTER WROT
604R 11/4X3/4 CXM ADAPTER WROT
604 11/2 CXM ADAPTER WROT
604R 11/2X1 CXM ADAPTER WROT
604R 11/2X11/4 CXM ADAPTER WROT
604R 11/2X2 CXM ADAPT WROT
604 2 CXM ADAPTER WROT
604R 2X11/2 CXM ADAPTER WROT
604 21/2 CXM ADAPTER WROT
604 3 CXM ADAPTER WROT
604 4 CXM ADAPTER WROT
604-2 1/4 FTGXM ADAPTER WROT
604-2 3/8 FTGXM ADAPTER WROT
604-2 1/2 FTGXM ADAPTER WROT
604-2R 1/2X3/4 FTGXM ADAPTER WROT
604-2R 1/2X3/8 FTGXM ADAPTER WROT
604-2 3/4 FTGXM ADAPTER WROT
604-2R 3/4X1/2 FTGXM ADAPTER WROT
604-2 1 FTGXM ADAPTER WROT
604-2 11/4 FTGXM ADAPTER WROT
604-2 11/2 FTGXM ADAPTER WROT
604-2 2 FTGXM ADAPTER WROT
604-2 21/2 FTGXM ADAPTER WROT
604-2 3 FTGXM ADAPTER WROT
604-F 1/2 CXM FLUSH ADAPTER WROT
604-F 3/4 CXM FLUSH ADAPTER WROT
606 1/8 CXC 45 ELBOW WROT
606 1/4 CXC 45 ELBOW WROT
606 3/8 CXC 45 ELBOW WROT
606 1/2 CXC 45 ELBOW WROT
606 5/8 CXC 45 ELBOW WROT
606 3/4 CXC 45 ELBOW WROT
606 7/8 CXC 45 ELBOW CXC WROT
